kind,wp_id,source_url,local_path,used_by,status
attachment,108,https://humancompatible.ai/app/uploads/2019/06/founders_pledge.png,public/app/uploads/2019/06/founders_pledge.png,attachment parent 107,ok
attachment,110,https://humancompatible.ai/app/uploads/2019/06/prospect_theory.png,public/app/uploads/2019/06/prospect_theory.png,attachment parent 109,ok
attachment,112,https://humancompatible.ai/app/uploads/2019/05/vincent.jpg,public/app/uploads/2019/05/vincent.jpg,attachment parent 111,ok
attachment,114,https://humancompatible.ai/news/2019/05/24/neurips_2019/neurips_2019-jpg-2/,,attachment parent 113,broken-record (file missing on server)
attachment,116,https://humancompatible.ai/news/2019/05/24/icml_2019/icml_2019-png-2/,,attachment parent 115,broken-record (file missing on server)
attachment,118,https://humancompatible.ai/app/uploads/2019/05/human_compatible.jpg,public/app/uploads/2019/05/human_compatible.jpg,attachment parent 117,ok
attachment,120,https://humancompatible.ai/app/uploads/2019/05/carnegie_fellows.jpg,public/app/uploads/2019/05/carnegie_fellows.jpg,attachment parent 119,ok
attachment,122,https://humancompatible.ai/news/2019/05/15/rohin_qa/ai_alignment-png-4/,,attachment parent 121,broken-record (file missing on server)
attachment,124,https://humancompatible.ai/app/uploads/2019/04/iclr.png,public/app/uploads/2019/04/iclr.png,attachment parent 123,ok
attachment,126,https://humancompatible.ai/app/uploads/2019/04/aamas_2019.png,public/app/uploads/2019/04/aamas_2019.png,attachment parent 125,ok
attachment,128,https://humancompatible.ai/news/2019/04/19/rohin_oneyear/ai_alignment-png-5/,,attachment parent 127,broken-record (file missing on server)
attachment,130,https://humancompatible.ai/app/uploads/2019/04/making-sense.png,public/app/uploads/2019/04/making-sense.png,attachment parent 129,ok
attachment,132,https://humancompatible.ai/app/uploads/2019/03/uai2019.png,public/app/uploads/2019/03/uai2019.png,attachment parent 131,ok
attachment,134,https://humancompatible.ai/app/uploads/2019/03/halpern.jpg,public/app/uploads/2019/03/halpern.jpg,attachment parent 133,ok
attachment,136,https://humancompatible.ai/app/uploads/2019/03/umichchat.jpg,public/app/uploads/2019/03/umichchat.jpg,attachment parent 135,ok
attachment,138,https://humancompatible.ai/news/2019/02/14/rohin_blogposts/ai_alignment-png-6/,,attachment parent 137,broken-record (file missing on server)
attachment,140,https://humancompatible.ai/app/uploads/2019/02/halpern.jpg,public/app/uploads/2019/02/halpern.jpg,attachment parent 139,ok
attachment,142,https://humancompatible.ai/app/uploads/2019/02/yardstick.jpg,public/app/uploads/2019/02/yardstick.jpg,attachment parent 141,ok
attachment,144,https://humancompatible.ai/app/uploads/2019/01/FAT.jpg,public/app/uploads/2019/01/FAT.jpg,attachment parent 143,ok
attachment,146,https://humancompatible.ai/app/uploads/2019/01/Drone.jpg,public/app/uploads/2019/01/Drone.jpg,attachment parent 145,ok
attachment,148,https://humancompatible.ai/news/2019/01/20/turner_prize/ai_alignment-png-7/,,attachment parent 147,broken-record (file missing on server)
attachment,150,https://humancompatible.ai/app/uploads/2019/01/AAAI2019.png,public/app/uploads/2019/01/AAAI2019.png,attachment parent 149,ok
attachment,152,https://humancompatible.ai/app/uploads/2019/01/AAAS.png,public/app/uploads/2019/01/AAAS.png,attachment parent 151,ok
attachment,154,https://humancompatible.ai/app/uploads/2019/01/anca_ai4all.jpeg,public/app/uploads/2019/01/anca_ai4all.jpeg,attachment parent 153,ok
attachment,156,https://humancompatible.ai/app/uploads/2019/01/Rosie_AISafe.jpeg,public/app/uploads/2019/01/Rosie_AISafe.jpeg,attachment parent 155,ok
attachment,158,https://humancompatible.ai/app/uploads/2019/01/interncollage.png,public/app/uploads/2019/01/interncollage.png,attachment parent 157,ok
attachment,160,https://humancompatible.ai/news/2019/01/01/chai_interns-2/interncollage-png-2/,,attachment parent 159,broken-record (file missing on server)
attachment,162,https://humancompatible.ai/news/2018/12/21/chai_vox/vox_article-jpg/,,attachment parent 161,broken-record (file missing on server)
attachment,164,https://humancompatible.ai/app/uploads/2018/12/Rohin.jpg,public/app/uploads/2018/12/Rohin.jpg,attachment parent 163,ok
attachment,166,https://humancompatible.ai/app/uploads/2018/12/Causality.jpg,public/app/uploads/2018/12/Causality.jpg,attachment parent 165,ok
attachment,168,https://humancompatible.ai/app/uploads/2018/12/StuartInterview.png,public/app/uploads/2018/12/StuartInterview.png,attachment parent 167,ok
attachment,170,https://humancompatible.ai/app/uploads/2018/12/neurips.jpg,public/app/uploads/2018/12/neurips.jpg,attachment parent 169,ok
attachment,172,https://humancompatible.ai/app/uploads/2018/12/stocks.jpg,public/app/uploads/2018/12/stocks.jpg,attachment parent 171,ok
attachment,174,https://humancompatible.ai/app/uploads/2018/10/twitter.jpg,public/app/uploads/2018/10/twitter.jpg,attachment parent 173,ok
attachment,176,https://humancompatible.ai/app/uploads/2018/10/rosie-campbell.jpg,public/app/uploads/2018/10/rosie-campbell.jpg,attachment parent 175,ok
attachment,178,https://humancompatible.ai/app/uploads/2018/10/conference-scaled.jpg,public/app/uploads/2018/10/conference-scaled.jpg,attachment parent 177,ok
attachment,180,https://humancompatible.ai/app/uploads/2018/10/gdpr.jpg,public/app/uploads/2018/10/gdpr.jpg,attachment parent 179,ok
attachment,182,https://humancompatible.ai/app/uploads/2018/09/euflags-scaled.jpg,public/app/uploads/2018/09/euflags-scaled.jpg,attachment parent 181,ok
attachment,184,https://humancompatible.ai/app/uploads/2018/09/TED-Talk-scaled.jpg,public/app/uploads/2018/09/TED-Talk-scaled.jpg,attachment parent 183,ok
attachment,186,https://humancompatible.ai/news/2018/09/04/halpern_past_talks/halpern-jpg-3/,,attachment parent 185,broken-record (file missing on server)
attachment,188,https://humancompatible.ai/app/uploads/2018/09/meeting.jpg,public/app/uploads/2018/09/meeting.jpg,attachment parent 187,ok
attachment,190,https://humancompatible.ai/app/uploads/2018/09/fisac.jpg,public/app/uploads/2018/09/fisac.jpg,attachment parent 189,ok
attachment,192,https://humancompatible.ai/app/uploads/2018/09/filan2.jpg,public/app/uploads/2018/09/filan2.jpg,attachment parent 191,ok
attachment,194,https://humancompatible.ai/app/uploads/2018/09/anca.jpg,public/app/uploads/2018/09/anca.jpg,attachment parent 193,ok
attachment,196,https://humancompatible.ai/news/2018/09/03/anca_around_world/anca_ai4all-jpeg-2/,,attachment parent 195,broken-record (file missing on server)
attachment,198,https://humancompatible.ai/app/uploads/2018/08/miri.png,public/app/uploads/2018/08/miri.png,attachment parent 197,ok
attachment,200,https://humancompatible.ai/app/uploads/2018/07/cogmech.png,public/app/uploads/2018/07/cogmech.png,attachment parent 199,ok
attachment,202,https://humancompatible.ai/app/uploads/2018/07/robot.jpg,public/app/uploads/2018/07/robot.jpg,attachment parent 201,ok
attachment,204,https://humancompatible.ai/app/uploads/2018/07/rl.png,public/app/uploads/2018/07/rl.png,attachment parent 203,ok
attachment,206,https://humancompatible.ai/app/uploads/2018/07/ml.png,public/app/uploads/2018/07/ml.png,attachment parent 205,ok
attachment,210,https://humancompatible.ai/app/uploads/2018/07/aiconference.jpg,public/app/uploads/2018/07/aiconference.jpg,attachment parent 209,ok
attachment,212,https://humancompatible.ai/news/2018/07/14/adam_rohin_inverse_reward/rl-png-2/,,attachment parent 211,broken-record (file missing on server)
attachment,214,https://humancompatible.ai/app/uploads/2018/07/neuralnetwork.png,public/app/uploads/2018/07/neuralnetwork.png,attachment parent 213,ok
attachment,216,https://humancompatible.ai/app/uploads/2018/07/mathmodel.jpg,public/app/uploads/2018/07/mathmodel.jpg,attachment parent 215,ok
attachment,218,https://humancompatible.ai/app/uploads/2018/07/cogbias-scaled.jpg,public/app/uploads/2018/07/cogbias-scaled.jpg,attachment parent 217,ok
attachment,220,https://humancompatible.ai/app/uploads/2018/06/transparency.jpg,public/app/uploads/2018/06/transparency.jpg,attachment parent 219,ok
attachment,222,https://humancompatible.ai/news/2018/06/01/henry_kissenger/lead_720_405-jpgmod1525354271/,,attachment parent 221,broken-record (file missing on server)
attachment,224,https://humancompatible.ai/news/2018/05/31/anca_safe_robot/https%3a%2f%2fblogs-images-forbes-com%2fandreamorris%2ffiles%2f2018%2f02%2fdragan-1200x792-jpg/,,attachment parent 223,broken-record (file missing on server)
attachment,226,https://humancompatible.ai/news/2018/04/23/rohin_shah/rohin-jpg-2/,,attachment parent 225,broken-record (file missing on server)
attachment,228,https://humancompatible.ai/app/uploads/2018/04/blame.jpg,public/app/uploads/2018/04/blame.jpg,attachment parent 227,ok
attachment,232,https://humancompatible.ai/app/uploads/2018/03/failrobot.jpeg,public/app/uploads/2018/03/failrobot.jpeg,attachment parent 230,ok
attachment,233,https://humancompatible.ai/app/uploads/2018/03/behave.jpg,public/app/uploads/2018/03/behave.jpg,attachment parent 231,ok
attachment,235,https://humancompatible.ai/news/2018/02/26/anca_expressing_incapability/https%3a%2f%2fblogs-images-forbes-com%2fandreamorris%2ffiles%2f2018%2f02%2fdragan-1200x792-jpg-2/,,attachment parent 234,broken-record (file missing on server)
attachment,237,https://humancompatible.ai/app/uploads/2018/02/sophia.jpg,public/app/uploads/2018/02/sophia.jpg,attachment parent 236,ok
attachment,239,https://humancompatible.ai/news/2018/02/05/anca_human_guidance/anca_ai4all-jpeg-3/,,attachment parent 238,broken-record (file missing on server)
attachment,241,https://humancompatible.ai/news/2018/02/01/halpern_noisy_environment/halpern-jpg-4/,,attachment parent 240,broken-record (file missing on server)
attachment,244,https://humancompatible.ai/app/uploads/2018/01/trustmachine.jpg,public/app/uploads/2018/01/trustmachine.jpg,attachment parent 242,ok
attachment,245,https://humancompatible.ai/app/uploads/2017/12/maria-cantwell.jpg,public/app/uploads/2017/12/maria-cantwell.jpg,attachment parent 243,ok
attachment,247,https://humancompatible.ai/app/uploads/2017/12/openai.png,public/app/uploads/2017/12/openai.png,attachment parent 246,ok
attachment,249,https://humancompatible.ai/news/2017/11/16/anca_robot_objectives/behave-jpg-2/,,attachment parent 248,broken-record (file missing on server)
attachment,251,https://humancompatible.ai/app/uploads/2017/11/slaughterbot.jpeg,public/app/uploads/2017/11/slaughterbot.jpeg,attachment parent 250,ok
attachment,253,https://humancompatible.ai/app/uploads/2017/10/autocar-scaled.jpg,public/app/uploads/2017/10/autocar-scaled.jpg,attachment parent 252,ok
attachment,255,https://humancompatible.ai/app/uploads/2017/10/baxter.jpg,public/app/uploads/2017/10/baxter.jpg,attachment parent 254,ok
attachment,257,https://humancompatible.ai/news/2017/08/08/anca_courteous_car/https%3a%2f%2fblogs-images-forbes-com%2fandreamorris%2ffiles%2f2018%2f02%2fdragan-1200x792-jpg-3/,,attachment parent 256,broken-record (file missing on server)
attachment,259,https://humancompatible.ai/app/uploads/2017/05/stuart_russell_ted_288_191.jpg,public/app/uploads/2017/05/stuart_russell_ted_288_191.jpg,attachment parent 258,ok
attachment,261,https://humancompatible.ai/news/2017/03/11/montreal_declaration/csm_20171103_forum-ia-reponsable_81291f2028-jpg/,,attachment parent 260,broken-record (file missing on server)
attachment,263,https://humancompatible.ai/news/2017/03/06/ai_with_people/anca_ai4all-jpeg-4/,,attachment parent 262,broken-record (file missing on server)
attachment,265,https://humancompatible.ai/news/2017/02/11/anca_communicating_objectives/https%3a%2f%2fblogs-images-forbes-com%2fandreamorris%2ffiles%2f2018%2f02%2fdragan-1200x792-jpg-4/,,attachment parent 264,broken-record (file missing on server)
attachment,267,https://humancompatible.ai/news/2016/11/02/existenial_risk/3176-97043-allan_dafoe-300x200-jpg/,,attachment parent 266,broken-record (file missing on server)
attachment,269,https://humancompatible.ai/news/2016/11/01/ethics_ai/02ethics3-master768-jpg/,,attachment parent 268,broken-record (file missing on server)
attachment,271,https://humancompatible.ai/app/uploads/2016/09/bbc_pic.jpg,public/app/uploads/2016/09/bbc_pic.jpg,attachment parent 270,ok
attachment,273,https://humancompatible.ai/news/2016/08/30/ai_risk/6605-jpgw620q20autoformatusm12fitmaxdpr2s038a01bad7456d71ea7e297292379b0d/,,attachment parent 272,broken-record (file missing on server)
attachment,275,https://humancompatible.ai/news/2016/08/29/chai2/photo%20uc%20berkeley%20night%20cropped-jpegitokaavkap7g/,,attachment parent 274,broken-record (file missing on server)
attachment,277,https://humancompatible.ai/news/2016/08/29/chai/robotknot750-jpg/,,attachment parent 276,broken-record (file missing on server)
attachment,279,https://humancompatible.ai/app/uploads/2016/06/techrepub_pic.png,public/app/uploads/2016/06/techrepub_pic.png,attachment parent 278,ok
attachment,281,https://humancompatible.ai/app/uploads/2020/11/dylan-hadfield-menell.jpg,public/app/uploads/2020/11/dylan-hadfield-menell.jpg,attachment parent 280,ok
attachment,283,https://humancompatible.ai/app/uploads/2020/11/gillian-hadfield.jpg,public/app/uploads/2020/11/gillian-hadfield.jpg,attachment parent 282,ok
attachment,285,https://humancompatible.ai/app/uploads/2020/11/mark.jpg,public/app/uploads/2020/11/mark.jpg,attachment parent 284,ok
attachment,287,https://humancompatible.ai/people/stuart-russell/stuart-jpg-2/,,attachment parent 286,broken-record (file missing on server)
attachment,289,https://humancompatible.ai/app/uploads/2020/11/jaime-fernandez-fisac.jpg,public/app/uploads/2020/11/jaime-fernandez-fisac.jpg,attachment parent 288,ok
attachment,291,https://humancompatible.ai/app/uploads/2020/11/martin.jpg,public/app/uploads/2020/11/martin.jpg,,ok
